competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,sugarpercent,pricepercent,winpercent,numLiked
100 Grand,1,0,1,0,0,1,0,1,0.73199999,0.86000001,66.971725,5606.2031
3 Musketeers,1,0,0,0,1,0,0,1,0.60399997,0.51099998,67.602936,5659.041773
One dime,0,0,0,0,0,0,0,0,0.011,0.116,32.261086,2700.575509
One quarter,0,0,0,0,0,0,0,0,0.011,0.51099998,46.116505,3860.412634
Air Heads,0,1,0,0,0,0,0,0,0.90600002,0.51099998,52.341465,4381.504035
Almond Joy,1,0,0,1,0,0,0,1,0.465,0.76700002,50.347546,4214.593076
Baby Ruth,1,0,1,1,1,0,0,1,0.60399997,0.76700002,56.914547,4764.316729
Boston Baked Beans,0,0,0,1,0,0,0,0,0.31299999,0.51099998,23.417824,1960.306047
Candy Corn,0,0,0,0,0,0,0,0,0.90600002,0.32499999,38.010963,3181.897713
Caramel Apple Pops,0,1,1,0,0,0,0,0,0.60399997,0.32499999,34.517681,2889.475077
Charleston Chew,1,0,0,0,1,0,0,1,0.60399997,0.51099998,38.975037,3262.600347
Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,0.73199999,0.51099998,36.017628,3015.03564
Chiclets,0,1,0,0,0,0,0,0,0.046,0.32499999,24.524988,2052.986745
Dots,0,1,0,0,0,0,0,0,0.73199999,0.51099998,42.272076,3538.595482
Dum Dums,0,1,0,0,0,0,1,0,0.73199999,0.034000002,39.460556,3303.243143
Fruit Chews,0,1,0,0,0,0,0,0,0.127,0.034000002,43.088924,3606.973828
Fun Dip,0,1,0,0,0,0,1,0,0.73199999,0.32499999,39.185505,3280.218624
Gobstopper,0,1,0,0,0,0,1,0,0.90600002,0.45300001,46.783348,3916.234061
Haribo Gold Bears,0,1,0,0,0,0,0,0,0.465,0.465,57.11974,4781.493435
Haribo Happy Cola,0,0,0,0,0,0,0,0,0.465,0.465,34.158958,2859.446374
Haribo Sour Bears,0,1,0,0,0,0,0,0,0.465,0.465,51.41243,4303.734515
Haribo Twin Snakes,0,1,0,0,0,0,0,0,0.465,0.465,42.178772,3530.785004
HersheyÕs Kisses,1,0,0,0,0,0,0,0,0.127,0.093000002,55.375454,4635.479254
HersheyÕs Krackel,1,0,0,0,0,1,0,1,0.43000001,0.91799998,62.284481,5213.833905
HersheyÕs Milk Chocolate,1,0,0,0,0,0,0,1,0.43000001,0.91799998,56.490501,4728.819839
HersheyÕs Special Dark,1,0,0,0,0,0,0,1,0.43000001,0.91799998,59.236122,4958.655773
Jawbusters,0,1,0,0,0,0,1,0,0.093000002,0.51099998,28.127439,2354.547919
Junior Mints,1,0,0,0,0,0,0,0,0.197,0.51099998,57.21925,4789.823418
Kit Kat,1,0,0,0,0,1,0,1,0.31299999,0.51099998,76.7686,6426.299506
Laffy Taffy,0,1,0,0,0,0,0,0,0.22,0.116,41.389557,3464.719816
Lemonhead,0,1,0,0,0,0,1,0,0.046,0.104,39.141056,3276.497798
Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0.26699999,0.27900001,52.911392,4429.212624
Peanut butter M&MÕs,1,0,0,1,0,0,0,0,0.82499999,0.65100002,71.46505,5982.339336
M&MÕs,1,0,0,0,0,0,0,0,0.82499999,0.65100002,66.574585,5572.95851
Mike & Ike,0,1,0,0,0,0,0,0,0.87199998,0.32499999,46.411716,3885.124746
Milk Duds,1,0,1,0,0,0,0,0,0.30199999,0.51099998,55.064072,4609.413467
Milky Way,1,0,1,0,1,0,0,1,0.60399997,0.65100002,73.099556,6119.163833
Milky Way Midnight,1,0,1,0,1,0,0,1,0.73199999,0.44100001,60.800701,5089.626681
Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0.96499997,0.86000001,64.35334,5387.018091
Mounds,1,0,0,0,0,0,0,1,0.31299999,0.86000001,47.829754,4003.828707
Mr Good Bar,1,0,0,1,0,0,0,1,0.31299999,0.91799998,54.526451,4564.409213
Nerds,0,1,0,0,0,0,1,0,0.84799999,0.32499999,55.354046,4633.687191
Nestle Butterfinger,1,0,0,1,0,0,0,1,0.60399997,0.76700002,70.735641,5921.280508
Nestle Crunch,1,0,0,0,0,1,0,1,0.31299999,0.76700002,66.47068,5564.260623
Nik L Nip,0,1,0,0,0,0,0,0,0.197,0.97600001,22.445341,1878.899495
Now & Later,0,1,0,0,0,0,0,0,0.22,0.32499999,39.4468,3302.091628
Payday,0,0,0,1,1,0,0,1,0.465,0.76700002,46.296597,3875.488135
Peanut M&Ms,1,0,0,1,0,0,0,0,0.59299999,0.65100002,69.483788,5816.487893
Pixie Sticks,0,0,0,0,0,0,0,0,0.093000002,0.023,37.722336,3157.736747
Pop Rocks,0,1,0,0,0,0,1,0,0.60399997,0.83700001,41.265511,3454.335926
Red vines,0,1,0,0,0,0,0,0,0.58099997,0.116,37.348522,3126.444777
ReeseÕs Miniatures,1,0,0,1,0,0,0,0,0.034000002,0.27900001,81.866257,6853.024373
ReeseÕs Peanut Butter cup,1,0,0,1,0,0,0,0,0.72000003,0.65100002,84.18029,7046.732076
ReeseÕs pieces,1,0,0,1,0,0,0,0,0.40599999,0.65100002,73.43499,6147.243013
ReeseÕs stuffed with pieces,1,0,0,1,0,0,0,0,0.98799998,0.65100002,72.887901,6101.446193
Ring pop,0,1,0,0,0,0,1,0,0.73199999,0.96499997,35.290756,2954.189185
Rolo,1,0,1,0,0,0,0,0,0.86000001,0.86000001,65.716286,5501.110301
Root Beer Barrels,0,0,0,0,0,0,1,0,0.73199999,0.068999998,29.703691,2486.495974
Runts,0,1,0,0,0,0,1,0,0.87199998,0.27900001,42.849144,3586.901844
Sixlets,1,0,0,0,0,0,0,0,0.22,0.081,34.722,2906.57862
Skittles original,0,1,0,0,0,0,0,0,0.94099998,0.22,63.08514,5280.857069
Skittles wildberry,0,1,0,0,0,0,0,0,0.94099998,0.22,55.103695,4612.730308
Nestle Smarties,1,0,0,0,0,0,0,0,0.26699999,0.97600001,37.887188,3171.536507
Smarties candy,0,1,0,0,0,0,1,0,0.26699999,0.116,45.995827,3850.310678
Snickers,1,0,1,1,1,0,0,1,0.546,0.65100002,76.673782,6418.362291
